DEPT,AVTX,BVTX,CILD,CNDL,CNLS,CNPOR,CNSS,GR,LSPD,LTEN,RILD,RILM,RLL3,RxoRt,SP,MCAL,MI,MN,ITT,DT,SPOR,DCAL,RHOB,RHOC,DPOR
646.5,0,0,268.998,20.0484,28.785,28.785,31.303,103.0707,-102.32,839.7912,3.7175,3.4563,4.7282,-9.8464,-231.6252,8.051,2.4956,1.8567,1,140.2698,65.5373,8.9984,2.1894,0.1456,30.4459
647,0,0,267.6618,25.6687,32.9123,32.9123,35.5158,111.8548,-102.32,835.5196,3.7361,3.4678,4.7725,-9.8194,-231.3828,8.0435,2.5112,1.8453,0,140.5305,65.7217,8.8437,2.1789,0.1551,31.0562
647.5,0,0,266.765,30.9415,36.9555,36.9555,39.0141,117.6277,-101.83,840.5295,3.7486,3.4837,4.8532,-9.9951,-231.1712,8.0282,2.8272,1.8999,0,140.5611,65.7434,8.701,2.185,0.1759,30.7024
648,0,0,266.3299,31.6553,37.5508,37.5508,39.4228,117.7911,-101.83,847.5778,3.7547,3.5025,4.9121,-10.2382,-230.9973,8.0197,3.1025,2.0202,0,140.4306,65.651,8.6379,2.2029,0.1994,29.6563
648.5,0,0,265.8367,31.6169,37.5173,37.5173,39.4002,110.4662,-101.83,840.0242,3.7617,3.5227,4.922,-10.3923,-230.8544,8.0217,3.112,2.1258,0,140.258,65.529,8.6261,2.2218,0.2161,28.552
649,0,0,264.8936,31.2022,37.1612,37.1612,39.1574,100.5026,-101.46,837.5251,3.7751,3.5433,4.921,-10.412,-230.7353,8.0223,3.0148,2.1267,0,140.1118,65.4256,8.7363,2.2304,0.2209,28.044
649.5,0,0,263.5259,29.5034,36.0022,36.0022,38.3149,98.5512,-101.46,842.6006,3.7947,3.5635,4.9339,-10.3549,-230.6406,8.0083,2.9682,2.136,0,139.9965,65.3441,8.8199,2.2239,0.2182,28.4285
650,0,0,261.9893,25.2067,32.6406,32.6406,35.238,103.5914,-101.46,840.1702,3.8169,3.5825,4.9651,-10.288,-230.5764,7.9903,2.9222,2.1735,0,139.8824,65.2633,8.8527,2.2097,0.2191,29.2552
650.5,0,0,260.6387,19.9793,28.7271,28.7271,31.2475,110.2819,-101.46,835.2484,3.8367,3.5994,4.995,-10.2481,-230.5465,7.9808,2.8506,2.186,0,139.729,65.1549,8.939,2.2031,0.2294,29.6454
651,0,0,259.6662,19.0551,27.9619,27.9619,30.5243,116.8008,-101.83,830.2225,3.8511,3.6137,5.0165,-10.2273,-230.5537,7.9701,2.8602,2.2188,0,139.5253,65.0108,8.9159,2.2096,0.2417,29.2619
651.5,0,0,258.8797,20.3959,29.0843,29.0843,31.5923,123.9869,-101.83,826.946,3.8628,3.6256,5.0271,-10.1733,-230.6068,7.9557,2.8803,2.264,0,139.3215,64.8667,8.8519,2.2221,0.2439,28.5304
652,0,0,257.9317,21.0263,29.6372,29.6372,32.1361,128.6485,-101.83,834.1835,3.877,3.6362,5.0163,-10.0462,-230.7185,7.9579,2.8503,2.2647,0,139.2094,64.7874,8.8724,2.2319,0.2332,27.9586
652.5,0,0,256.6525,22.3553,30.5512,30.5512,33.0637,126.0585,-101.58,835.4419,3.8963,3.6477,4.9968,-9.8678,-230.8829,7.9736,2.8089,2.2377,0,139.2632,64.8255,8.8862,2.2389,0.2173,27.5523
653,0,0,255.0325,22.5652,30.6871,30.6871,33.2041,121.1502,-101.58,832.8821,3.9211,3.6633,5.0083,-9.6929,-231.0536,7.9726,2.7543,2.2667,0,139.4681,64.9704,8.8383,2.2481,0.2036,27.014
653.5,0,0,253.0548,22.074,30.374,30.374,32.8812,118.3729,-101.58,834.1959,3.9517,3.6868,5.0314,-9.5598,-231.1532,7.9487,2.7732,2.2733,1,139.6955,65.1312,8.794,2.2598,0.1923,26.3274
654,0,0,250.6389,23.2557,31.228,31.228,33.7674,120.1295,-101.71,835.0688,3.9898,3.7226,5.0535,-9.4845,-231.1195,7.926,2.9094,2.2398,0,139.7779,65.1895,8.794,2.2703,0.1825,25.7122
654.5,0,0,247.6418,21.8867,30.2558,30.2558,32.7601,124.9674,-101.71,851.2565,4.0381,3.7757,5.1182,-9.4735,-230.9528,7.9152,3.0772,2.2496,0,139.6136,65.0733,8.6993,2.2796,0.177,25.1677
655,0,0,243.925,18.7092,27.6615,27.6615,30.2455,129.8637,-101.71,857.4917,4.0996,3.8507,5.1936,-9.5451,-230.7199,7.9058,3.3427,2.2486,0,139.1919,64.775,8.488,2.2906,0.1749,24.5282
